learning_rate_list,momentum_list,number_of_epochs_list,batch_size_list1,batch_size_list2,batch_size_list3,batch_size_list4,accuracy_train_list,accuracy_validation_list,cross_entropy_list,validation_list,time_list
0.1,0.5,10,16,32,64,128,0.547085201793722,0.5,0.776248098950285,0.50104263329308,0.265625
0.1,0.5,20,16,32,64,128,0.547085201793722,0.5,0.657260273908678,0.343124421499149,0.28125
0.1,0.5,20,16,32,64,128,0.547085201793722,0.5,0.703339210782867,0.367860555381407,0.265625
0.1,0.5,20,16,32,64,128,0.547085201793722,0.5,0.871945388436063,0.00617065937510353,0.234375
0.1,0.5,20,16,32,64,128,0.547085201793722,0.5,0.849959370368262,0.312387523347905,0.328125
0.1,0.5,30,16,32,64,128,0.547085201793722,0.5,0.624818161275267,0.328911149447407,0.25
0.1,0.5,30,16,32,64,128,0.547085201793722,0.5,0.815807057769064,0.333601852480393,0.234375
0.1,0.5,30,16,32,64,128,0.547085201793722,0.5,0.87303084500553,0.0424917638057307,0.234375
0.1,0.5,30,16,32,64,128,0.547085201793722,0.5,0.79070790151555,0.208061656038488,0.234375
0.1,0.6,10,16,32,64,128,0.547085201793722,0.5,0.716807169539152,0.507167157306548,0.234375
0.1,0.6,10,16,32,64,128,0.547085201793722,0.5,0.771696045056173,0.317652472280638,0.28125
0.1,0.6,10,16,32,64,128,0.547085201793722,0.5,0.697194299026128,0.452936741224215,0.265625
0.1,0.6,10,16,32,64,128,0.547085201793722,0.5,0.751051432568846,0.531924361340687,0.28125
0.1,0.6,20,16,32,64,128,0.547085201793722,0.5,0.729714104198235,0.310168642323451,0.25
0.1,0.6,20,16,32,64,128,0.547085201793722,0.5,0.814179179845558,-0.00856199891682796,0.25
0.1,0.6,20,16,32,64,128,0.547085201793722,0.5,0.631307487319393,0.510264719733562,0.234375
0.1,0.6,20,16,32,64,128,0.547085201793722,0.5,0.737554581705263,0.430558146587836,0.234375
0.1,0.6,30,16,32,64,128,0.547085201793722,0.5,0.656187519230238,0.284216889441368,0.25
0.1,0.6,30,16,32,64,128,0.547085201793722,0.5,0.474653642695362,0.235440795003941,0.21875
0.1,0.6,30,16,32,64,128,0.547085201793722,0.5,0.656002454209607,0.50557878418865,0.234375
0.1,0.6,30,16,32,64,128,0.547085201793722,0.5,0.97322433516903,-0.423783702186773,0.28125
0.1,0.7,10,16,32,64,128,0.547085201793722,0.5,0.542335103500834,0.41010801417361,0.265625
0.1,0.7,10,16,32,64,128,0.547085201793722,0.5,0.706572591957367,0.565664490017044,0.265625
0.1,0.7,10,16,32,64,128,0.547085201793722,0.5,0.700708883767199,0.543884637328688,0.28125
0.1,0.7,10,16,32,64,128,0.547085201793722,0.5,0.759862791713853,0.585601503467954,0.359375
0.1,0.7,20,16,32,64,128,0.547085201793722,0.5,0.821888240812728,0.294118310464792,0.265625
0.1,0.7,20,16,32,64,128,0.547085201793722,0.5,0.561757089833848,0.306424634326013,0.28125
0.1,0.7,20,16,32,64,128,0.547085201793722,0.5,0.884585208442554,0.286059333312378,0.265625
0.1,0.7,20,16,32,64,128,0.547085201793722,0.5,0.893274979434816,-0.00946690466651035,0.265625
0.1,0.7,30,16,32,64,128,0.547085201793722,0.5,0.873836614449558,0.0267272617359964,0.28125
0.1,0.7,30,16,32,64,128,0.547085201793722,0.5,0.917142549321187,-0.133694135177809,0.328125
0.1,0.7,30,16,32,64,128,0.547085201793722,0.5,0.860930093251597,-0.646227315694861,0.25
0.1,0.7,30,16,32,64,128,0.547085201793722,0.5,0.94194733067135,-0.144602540000825,0.359375
0.1,0.9,10,16,32,64,128,0.547085201793722,0.5,0.74611631429527,0.577765244121587,0.296875
0.1,0.9,10,16,32,64,128,0.547085201793722,0.5,0.678160234787645,0.647991727665293,0.265625
0.1,0.9,10,16,32,64,128,0.547085201793722,0.5,0.600045046596058,0.412744462164807,0.234375
0.1,0.9,10,16,32,64,128,0.547085201793722,0.5,0.756267846913647,0.198228047333292,0.234375
0.1,0.9,20,16,32,64,128,0.547085201793722,0.5,0.802252612743229,0.208618960628899,0.28125
0.1,0.9,20,16,32,64,128,0.547085201793722,0.5,0.743527599742181,0.486224567837575,0.296875
0.1,0.9,20,16,32,64,128,0.547085201793722,0.5,0.681958370020723,0.495979188927913,0.265625
0.1,0.9,20,16,32,64,128,0.547085201793722,0.5,0.830747981535107,0.20759286014919,0.28125
0.1,0.9,30,16,32,64,128,0.547085201793722,0.5,0.694913155786689,0.337517431438771,0.296875
0.1,0.9,30,16,32,64,128,0.547085201793722,0.5,0.7686377633819,0.583428269757868,0.21875
0.1,0.9,30,16,32,64,128,0.547085201793722,0.5,0.700796804123384,0.367166281263692,0.25
0.1,0.9,30,16,32,64,128,0.547085201793722,0.5,0.633402582736635,0.520141160939296,0.265625
0.3,0.5,10,16,32,64,128,0.547085201793722,0.5,0.591039217730262,0.50719562562851,0.234375
0.3,0.5,10,16,32,64,128,0.547085201793722,0.5,0.611635462510108,0.383008146850554,0.296875
0.3,0.5,10,16,32,64,128,0.547085201793722,0.5,0.628556162459406,0.451216653200317,0.296875
0.3,0.5,10,16,32,64,128,0.547085201793722,0.5,0.681820055768003,0.305857152762173,0.234375
0.3,0.5,20,16,32,64,128,0.547085201793722,0.5,0.800300664008477,0.347331877117668,0.21875
0.3,0.5,20,16,32,64,128,0.547085201793722,0.5,0.860409946910072,0.21910632480338,0.21875
0.3,0.5,20,16,32,64,128,0.547085201793722,0.5,0.777095780550596,0.232332348783274,0.265625
0.3,0.5,20,16,32,64,128,0.547085201793722,0.5,0.700193166432506,0.481240392649664,0.234375
0.3,0.5,30,16,32,64,128,0.547085201793722,0.5,0.569405907055463,0.395934143369484,0.484375
0.3,0.5,30,16,32,64,128,0.547085201793722,0.5,0.702054194352871,0.530117880637849,0.75
0.3,0.5,30,16,32,64,128,0.547085201793722,0.5,0.574247384058236,0.505208240116698,0.453125
0.3,0.5,30,16,32,64,128,0.547085201793722,0.5,0.803645483871146,0.112137053498097,0.40625
0.3,0.6,10,16,32,64,128,0.547085201793722,0.5,0.556912680232529,0.473257698723614,0.28125
0.3,0.6,10,16,32,64,128,0.547085201793722,0.5,0.679408566052773,0.367852911482986,0.25
0.3,0.6,10,16,32,64,128,0.547085201793722,0.5,0.718209961927695,0.486724346964514,0.265625
0.3,0.6,10,16,32,64,128,0.547085201793722,0.5,0.734924105420534,0.223201851725906,0.3125
